Plate.Number,Envelope,Treatment,Rep,Location,Genotype,Field.location,Source,Extraction.BC,Datafile,d.T3,g.T3,a.T3,d.T,g.T,a.T,Total.Tocotrienols,Total.Tocopherols,Total.Tocochromanols,ID,ID2
LD_Plate 3,18A1330_1_12,Dark,2,NY,NC358,U,14A1278,8032065010,02192019_LD3_18A1330_1_12_NC358_96.lcd,1.284,NA,14.394,0.009,NA,4.295,26.801,NA,33.21,NC358_Dark_2,NC358_Dark
LD_Plate 3,18A1330_1_13,Dark,2,NY,NC358,U,14A1278,8032064564,02192019_LD3_18A1330_1_13_NC358_97.lcd,1.229,14.054,16.869,0.015,2.628,4.209,32.152,6.852,39.003,NC358_Dark_2,NC358_Dark
LD_Plate 3,18A1330_2_1,Control,2,NY,NC358,U,14A1278,8032064437,02192019_LD3_18A1330_2_1_NC358_98.lcd,1.224,15.014,18.093,0.24,14.005,9.674,34.331,23.919,58.25,NC358_Control_2,NC358_Control
LD_Plate 3,18A1330_2_2,Control,2,NY,NC358,U,14A1278,8032064711,02192019_LD3_18A1330_2_2_NC358_99.lcd,NA,NA,15.503,0.287,15.851,8.774,29.889,24.912,54.801,NC358_Control_2,NC358_Control
LD_Plate 3,18A1330_2_3,Control,2,NY,NC358,U,14A1278,8032064802,02192019_LD3_18A1330_2_3_NC358_100.lcd,NA,NA,16.703,0.26,15.114,10.624,34.154,25.998,NA,NC358_Control_2,NC358_Control
LD_Plate 3,18A1330_2_4,Control,2,NY,NC358,U,14A1278,8032064784,02192019_LD3_18A1330_2_4_NC358_101.lcd,1.166,14.676,17.876,0.196,12.017,10.296,33.718,22.508,56.226,NC358_Control_2,NC358_Control
LD_Plate 3,18A1330_2_5,Control,2,NY,NC358,U,14A1278,8032065191,02192019_LD3_18A1330_2_5_NC358_103.lcd,1.25,14.935,17.968,0.307,15.417,9.823,34.154,25.547,NA,NC358_Control_2,NC358_Control
LD_Plate 3,18A1330_2_6,Control,2,NY,NC358,U,14A1278,8032064625,02192019_LD3_18A1330_2_6_NC358_104.lcd,NA,15.017,18.652,0.211,11.463,9.026,35.142,20.7,55.842,NC358_Control_2,NC358_Control
LD_Plate 3,18A1330_2_7,Control,2,NY,NC358,U,14A1278,8032065194,02192019_LD3_18A1330_2_7_NC358_105.lcd,1.229,NA,15.868,0.191,11.579,8.809,30.634,20.578,NA,NC358_Control_2,NC358_Control
LD_Plate 3,18A1330_2_8,Control,2,NY,NC358,U,14A1278,8032064831,02192019_LD3_18A1330_2_8_NC358_106.lcd,1.195,14.265,16.526,0.229,13.388,9.881,31.985,23.498,55.483,NC358_Control_2,NC358_Control
LD_Plate 3,18A1330_2_9,Control,2,NY,NC358,U,14A1278,8032065166,02192019_LD3_18A1330_2_9_NC358_107.lcd,1.315,14.412,16.618,0.241,13.595,9.713,32.346,23.548,55.894,NC358_Control_2,NC358_Control
LD_Plate 3,18A1330_2_10,Control,2,NY,NC358,U,14A1278,8032064487,02192019_LD3_18A1330_2_10_NC358_108.lcd,1.342,14.746,15.93,0.226,14.255,9.098,32.018,23.579,55.597,NC358_Control_2,NC358_Control
LD_Plate 3,18A1330_2_11,Control,2,NY,NC358,U,14A1278,8032065102,02192019_LD3_18A1330_2_11_NC358_109.lcd,1.284,14.761,16.952,0.238,13.384,9.63,32.997,23.252,56.249,NC358_Control_2,NC358_Control
LD_Plate 3,18A1330_2_12,Control,2,NY,NC358,U,14A1278,8032065021,02192019_LD3_18A1330_2_12_NC358_110.lcd,1.259,NA,14.897,0.207,11.712,NA,NA,NA,NA,NC358_Control_2,NC358_Control
LD_Plate 3,18A1330_2_13,Control,2,NY,NC358,U,14A1278,8032065067,02192019_LD3_18A1330_2_13_NC358_111.lcd,NA,NA,NA,0.291,14.507,9.724,NA,24.522,NA,NC358_Control_2,NC358_Control
LD_Plate 3,18A1330_3_1,Light,2,NY,NC358,U,14A1278,8032065179,02192019_LD3_18A1330_3_1_NC358_112.lcd,1.537,16.155,19.22,0.301,16.108,9.244,NA,25.653,NA,NC358_Light_2,NC358_Light
LD_Plate 3,18A1330_3_2,Light,2,NY,NC358,U,14A1278,8032065269,02192019_LD3_18A1330_3_2_NC358_113.lcd,1.29,14.014,19.002,0.313,16.479,NA,34.306,27.548,NA,NC358_Light_2,NC358_Light
LD_Plate 4,18A1330_3_3,Light,2,NY,NC358,U,14A1278,8032065261,02192019_LD4_18A1330_3_3_NC358_9.lcd,1.739,15.34,14.975,NA,NA,8.611,32.055,26.892,58.947,NC358_Light_2,NC358_Light
LD_Plate 4,18A1330_3_4,Light,2,NY,NC358,U,14A1278,8032065186,02192019_LD4_18A1330_3_4_NC358_10.lcd,1.291,15.436,16.324,0.28,16.027,9.128,33.051,25.435,58.486,NC358_Light_2,NC358_Light
LD_Plate 4,18A1330_3_5,Light,2,NY,NC358,U,14A1278,8032065002,02192019_LD4_18A1330_3_5_NC358_11.lcd,1.473,16.46,14.619,0.299,16.507,9.505,32.552,26.312,58.864,NC358_Light_2,NC358_Light
